	Repetition 1		Repetition 2		Repetition 3		Repetition 4		Repetition 5		Repetition 6		Repetition 7		Repetition 8		Repetition 9		Repetition 10		Repetition 11		Repetition 12		Repetition 13		Repetition 14		Repetition 15		Repetition 16		Repetition 17		Repetition 18		Repetition 19		Repetition 20		Repetition average
Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  	Lag Time (s)	Correlation  
2.0e-07	1.93802501	2.0e-07	1.99590848	2.0e-07	1.98297406	2.0e-07	1.96308464	2.0e-07	1.94998066	2.0e-07	1.97020154	2.0e-07	1.97366400	2.0e-07	1.95650200	2.0e-07	1.87268783	2.0e-07	1.89177913	2.0e-07	1.91927283	2.0e-07	1.91272766	2.0e-07	1.85571673	2.0e-07	1.82391465	2.0e-07	1.77627222	2.0e-07	1.78182692	2.0e-07	1.86233016	2.0e-07	1.78586386	2.0e-07	1.79755055	2.0e-07	1.73119902	2.0e-07	1.88707410
4.0e-07	1.91325994	4.0e-07	1.92790791	4.0e-07	1.93133411	4.0e-07	1.95455479	4.0e-07	1.93434839	4.0e-07	1.95232207	4.0e-07	1.89322030	4.0e-07	1.89192375	4.0e-07	1.86573809	4.0e-07	1.88919261	4.0e-07	1.79332981	4.0e-07	1.77989259	4.0e-07	1.77552561	4.0e-07	1.78500941	4.0e-07	1.80667406	4.0e-07	1.78226332	4.0e-07	1.76837476	4.0e-07	1.76965084	4.0e-07	1.78736267	4.0e-07	1.71626812	4.0e-07	1.84590766
6.00e-07	1.92151497	6.00e-07	1.96221451	6.00e-07	1.90764049	6.00e-07	1.98075362	6.00e-07	1.87066137	6.00e-07	1.95924315	6.00e-07	1.90215849	6.00e-07	1.82898733	6.00e-07	1.84702725	6.00e-07	1.84573911	6.00e-07	1.81111000	6.00e-07	1.81151999	6.00e-07	1.77222362	6.00e-07	1.71275682	6.00e-07	1.75973004	6.00e-07	1.79404616	6.00e-07	1.79312194	6.00e-07	1.76721889	6.00e-07	1.75639150	6.00e-07	1.75477413	6.00e-07	1.83794167
8.00e-07	1.94056501	8.00e-07	1.86419567	8.00e-07	1.92951153	8.00e-07	1.94115074	8.00e-07	1.91118947	8.00e-07	1.89291611	8.00e-07	1.93064897	8.00e-07	1.90013285	8.00e-07	1.79998285	8.00e-07	1.83073731	8.00e-07	1.80419548	8.00e-07	1.79935561	8.00e-07	1.73873204	8.00e-07	1.77759889	8.00e-07	1.77984890	8.00e-07	1.73600477	8.00e-07	1.72097762	8.00e-07	1.78018930	8.00e-07	1.71727001	8.00e-07	1.74848744	8.00e-07	1.82718453
1.00e-06	1.87833485	1.00e-06	1.87277232	1.00e-06	1.85660807	1.00e-06	1.88875307	1.00e-06	1.84923937	1.00e-06	1.92175396	1.00e-06	1.89489621	1.00e-06	1.77480727	1.00e-06	1.81976288	1.00e-06	1.87574272	1.00e-06	1.80913442	1.00e-06	1.77016109	1.00e-06	1.76750650	1.00e-06	1.74980943	1.00e-06	1.76822467	1.00e-06	1.73469557	1.00e-06	1.73649704	1.00e-06	1.74735794	1.00e-06	1.73275560	1.00e-06	1.74062907	1.00e-06	1.80947210
1.20e-06	1.81419969	1.20e-06	1.90217797	1.20e-06	1.91068480	1.20e-06	1.91860755	1.20e-06	1.89034645	1.20e-06	1.83985448	1.20e-06	1.86361254	1.20e-06	1.85033098	1.20e-06	1.84809644	1.20e-06	1.78883572	1.20e-06	1.72566630	1.20e-06	1.80519451	1.20e-06	1.73401492	1.20e-06	1.71090419	1.20e-06	1.79147314	1.20e-06	1.76873488	1.20e-06	1.74236925	1.20e-06	1.70642007	1.20e-06	1.68711387	1.20e-06	1.69622927	1.20e-06	1.79974335
1.40e-06	1.81038968	1.40e-06	1.78700584	1.40e-06	1.84932417	1.40e-06	1.86499134	1.40e-06	1.83534403	1.40e-06	1.81966799	1.40e-06	1.81221795	1.40e-06	1.86237100	1.40e-06	1.81602071	1.40e-06	1.82452967	1.40e-06	1.84913985	1.40e-06	1.77745972	1.40e-06	1.72741094	1.40e-06	1.76555679	1.40e-06	1.75973004	1.40e-06	1.76829848	1.40e-06	1.71929984	1.40e-06	1.67845262	1.40e-06	1.74620361	1.40e-06	1.71469644	1.40e-06	1.78940554
1.60e-06	1.93485000	1.60e-06	1.86113258	1.60e-06	1.81226478	1.60e-06	1.84915018	1.60e-06	1.83881786	1.60e-06	1.84504529	1.60e-06	1.83009433	1.60e-06	1.78411092	1.60e-06	1.80960557	1.60e-06	1.81728742	1.60e-06	1.73258082	1.60e-06	1.79546300	1.60e-06	1.74958143	1.60e-06	1.78315678	1.60e-06	1.74676455	1.60e-06	1.76786208	1.60e-06	1.73985259	1.60e-06	1.69952954	1.60e-06	1.69811679	1.60e-06	1.70290889	1.60e-06	1.78990877
1.80e-06	1.84213976	1.80e-06	1.82253767	1.80e-06	1.81287231	1.80e-06	1.86742844	1.80e-06	1.86197678	1.80e-06	1.80236528	1.80e-06	1.84014980	1.80e-06	1.81366367	1.80e-06	1.75668062	1.80e-06	1.81263168	1.80e-06	1.81012221	1.80e-06	1.78281205	1.80e-06	1.75382684	1.80e-06	1.76277784	1.80e-06	1.73201071	1.80e-06	1.76087965	1.80e-06	1.69077767	1.80e-06	1.70804137	1.80e-06	1.72419778	1.80e-06	1.65536575	1.80e-06	1.78066289
